files	numero_controle_pncp	tamanho (MB)	url
DispensaEletronica01_2021.zip, DispensaEletrônica01_2021/, DispensaEletrônica01_2021/Anexo II_DE01_2021_Planilha_de_Servicos_do_Telhado.xlsx, DispensaEletrônica01_2021/Anexo I_DE01_2021_ParecerTécnico_34_2021.pdf, DispensaEletrônica01_2021/ProjetoBásico_DE01_2021.pdf	26474056000171-1-000001/2021	18.87	https://pncp.gov.br/pncp-api/v1/orgaos/26474056000171/compras/2021/1/arquivos/1
Servico de Visita Tecnica a Bordo.docx	00394502000144-1-000004/2021	0.01	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/4/arquivos/1
TR Simplificado (Dispensa 783000-3_2021).pdf	00394502000144-1-000005/2021	0.12	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/5/arquivos/1
TR_GAS-1.pdf	10792928000100-1-000001/2021	0.36	https://pncp.gov.br/pncp-api/v1/orgaos/10792928000100/compras/2021/1/arquivos/1
Estudo Tecnico Preliminar.pdf	17217985000104-1-000004/2021	0.13	https://pncp.gov.br/pncp-api/v1/orgaos/17217985000104/compras/2021/4/arquivos/1
ConabMail __ Caixa de entrada.pdf	26461699000180-1-000001/2021	0.35	https://pncp.gov.br/pncp-api/v1/orgaos/26461699000180/compras/2021/1/arquivos/1
02. PROJETO BASICO - MANUTENCAO PREDIAL - Assinado PDF.pdf	00394536000139-1-000001/2021	3.62	https://pncp.gov.br/pncp-api/v1/orgaos/00394536000139/compras/2021/1/arquivos/1
ICOM IC.docx	00394502000144-1-000003/2021	1.30	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/3/arquivos/1
Projeto Basico - Eventos.pdf	10806496000149-1-000001/2021	0.73	https://pncp.gov.br/pncp-api/v1/orgaos/10806496000149/compras/2021/1/arquivos/1
SALVADOR LIC - ORC 0099.2021 - CAPITANIA DOS PORTOS DA BAHIA - SENSOR PRESSAO.pdf	00394502000144-1-000006/2021	0.39	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/6/arquivos/1
Descricao detalhada.pdf	00394452000103-1-000004/2021	0.32	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/4/arquivos/1
Projeto Basico - CFTV.pdf	00394494000136-1-000001/2021	0.37	https://pncp.gov.br/pncp-api/v1/orgaos/00394494000136/compras/2021/1/arquivos/1
SCAN0002.PDF	00394452000103-1-000005/2021	0.55	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/5/arquivos/1
Termo de Referencia.pdf	15126437000143-1-000001/2021	0.48	https://pncp.gov.br/pncp-api/v1/orgaos/15126437000143/compras/2021/1/arquivos/1
Projeto Basico - Leitor Biometrico.pdf	00394494000136-1-000002/2021	0.54	https://pncp.gov.br/pncp-api/v1/orgaos/00394494000136/compras/2021/2/arquivos/1
SEI_SEDE - 14633174 - Termo de Referencia - SEI.pdf	15126437000143-1-000002/2021	0.36	https://pncp.gov.br/pncp-api/v1/orgaos/15126437000143/compras/2021/2/arquivos/1
Projeto basico.pdf	00394452000103-1-000006/2021	0.08	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/6/arquivos/1
SEI_CNEN - 0795153 - Projeto Basico.pdf	00402552000126-1-000001/2021	0.37	https://pncp.gov.br/pncp-api/v1/orgaos/00402552000126/compras/2021/1/arquivos/1
eletrodo_6013_2,50mm_5kg_vonder_90015471_0002_600x600.pdf	00394452000103-1-000007/2021	0.07	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/7/arquivos/1
DISP 173.2021 - T.A - DIEx 5334 - ALMOX.pdf	00394452000103-1-000009/2021	0.19	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/9/arquivos/1
DISP 172.2021 - T.A - DIEx 5399.pdf	00394452000103-1-000008/2021	0.19	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/8/arquivos/1
COTACAO 023-2021 - BATERIAS LS14250.doc	00394502000144-1-000008/2021	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/8/arquivos/1
COTACAO 022-2021 - ACESSORIOS PARA BATERIAS.doc	00394502000144-1-000007/2021	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/7/arquivos/1
COTACAO 024-2021 - Baterias e Antenas.doc	00394502000144-1-000009/2021	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/9/arquivos/1
Cotacao eletronica 252_21.pdf	62463005000108-1-000001/2021	0.14	https://pncp.gov.br/pncp-api/v1/orgaos/62463005000108/compras/2021/1/arquivos/1
CAPACITOR.odt	00394502000144-1-000010/2021	0.12	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/10/arquivos/1
Termo de Referencia Cotacao 443.pdf	00394452000103-1-000010/2021	0.33	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/10/arquivos/1
Pedido de Cotacao 001_2021.pdf	01409580000138-1-000001/2021	0.09	https://pncp.gov.br/pncp-api/v1/orgaos/01409580000138/compras/2021/1/arquivos/1
SEI_MS - 0022138771 - Termo de Referencia.pdf	00394544000185-1-000001/2021	0.33	https://pncp.gov.br/pncp-api/v1/orgaos/00394544000185/compras/2021/1/arquivos/1
TERMO DE REFERENCIA COMPONETES ILUMINACAO VLT.PDF	42357483000126-1-000001/2021	1.13	https://pncp.gov.br/pncp-api/v1/orgaos/42357483000126/compras/2021/1/arquivos/1
Cotacao Campomar Bucha Barracuda.pdf	00394502000144-1-000011/2021	1.05	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/11/arquivos/1
Projeto Basico estofados.pdf	00394460000141-1-000002/2021	0.12	https://pncp.gov.br/pncp-api/v1/orgaos/00394460000141/compras/2021/2/arquivos/1
Filtro manta G4.pdf	00394502000144-1-000013/2021	0.34	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/13/arquivos/1
35_2021 - TR.pdf	00394452000103-1-000011/2021	0.16	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/11/arquivos/1
PROCESSO 23147.0026322021-43.pdf	10838653000106-1-000001/2021	2.48	https://pncp.gov.br/pncp-api/v1/orgaos/10838653000106/compras/2021/1/arquivos/1
Projeto Basico.pdf	17217985000104-1-000005/2021	3.32	https://pncp.gov.br/pncp-api/v1/orgaos/17217985000104/compras/2021/5/arquivos/1
Necessidades da secao de viaturas.pdf	00394502000144-1-000012/2021	0.32	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/12/arquivos/1
Modelo de Cotacao Eletronica 57-2021.doc	00394452000103-1-000012/2021	0.09	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/12/arquivos/1
TR dispensa_cotacao.docx	00394452000103-1-000013/2021	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/13/arquivos/1
unnamed2.doc	00394452000103-1-000014/2021	1.54	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/14/arquivos/1
Termo de Referencia MANGUEIRA AUTOCLAVAVEL.pdf	00394544000185-1-000002/2021	0.48	https://pncp.gov.br/pncp-api/v1/orgaos/00394544000185/compras/2021/2/arquivos/1
PROJETO BASICO EQUIPO DE INFUSAO VENOSA.pdf	00394452000103-1-000015/2021	1.30	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/15/arquivos/1
Orcamento Centro de Intendencia da Marinha em Salvador.pdf	00394502000144-1-000014/2021	0.16	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/14/arquivos/1
SEI_SEDE - 15362191 - Projeto Basico - SEI.pdf	15126437000143-1-000003/2021	0.22	https://pncp.gov.br/pncp-api/v1/orgaos/15126437000143/compras/2021/3/arquivos/1
DISP 174.2021 - T.A - DIEx 963 - 4 Sec AD5.pdf	00394452000103-1-000016/2021	0.23	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/16/arquivos/1
TERMO DE REFERENCIA.pdf	46379400000150-1-000001/2021	0.11	https://pncp.gov.br/pncp-api/v1/orgaos/46379400000150/compras/2021/1/arquivos/1
SEI_EMBRAPA - 5704974 - Solicitacao de Compras e_ou Servicos.pdf	00348003000110-1-000001/2021	0.13	https://pncp.gov.br/pncp-api/v1/orgaos/00348003000110/compras/2021/1/arquivos/1
Projeto Basico_Cotacao Eletronica_Trofeus e Medalhas_SEPLAG.docxESTE AQUI.pdf	76416940000128-1-000001/2021	1.00	https://pncp.gov.br/pncp-api/v1/orgaos/76416940000128/compras/2021/1/arquivos/1
16 - SEI_UFRJ - 1174901 - Termo de Referencia.pdf	33663683000116-1-000001/2021	0.41	https://pncp.gov.br/pncp-api/v1/orgaos/33663683000116/compras/2021/1/arquivos/1
Aquisicao de EPIs - Termo de Referencia.pdf	33787094000140-1-000001/2021	0.11	https://pncp.gov.br/pncp-api/v1/orgaos/33787094000140/compras/2021/1/arquivos/1
PROPOSTAS CORRIMAO.pdf	00394502000144-1-000015/2021	1.50	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/15/arquivos/1
Informacoes do Produto.pdf	46379400000150-1-000002/2021	0.25	https://pncp.gov.br/pncp-api/v1/orgaos/46379400000150/compras/2021/2/arquivos/1
TR N 1_2021 - DE-TMN_DDE-TMN_CAMP-TMN_IFMA.pdf	10735145000194-1-000002/2021	0.10	https://pncp.gov.br/pncp-api/v1/orgaos/10735145000194/compras/2021/2/arquivos/1
PROPOSTAS RAMPA DE ACESSO.pdf	00394502000144-1-000016/2021	3.24	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/16/arquivos/1
Termo de Referencia para compras de materiais.pdf	10735145000194-1-000001/2021	0.18	https://pncp.gov.br/pncp-api/v1/orgaos/10735145000194/compras/2021/1/arquivos/1
PB Kit Teclado-Mouse.pdf	17217985000104-1-000006/2021	0.21	https://pncp.gov.br/pncp-api/v1/orgaos/17217985000104/compras/2021/6/arquivos/1
SEI_MAPA - 16575695 - Conab - Termo de Referencia (TR) - Bens - Dispensa.pdf	26461699000180-1-000002/2021	0.87	https://pncp.gov.br/pncp-api/v1/orgaos/26461699000180/compras/2021/2/arquivos/1
Placa Metalica - Auditorio Paulo Nunes.zip, placa de metal_AUDITORIO PAULO NUNES.cdr, placa de metal_AUDITORIO PAULO NUNES_A3.png	92966159000183-1-000001/2021	12.64	https://pncp.gov.br/pncp-api/v1/orgaos/92966159000183/compras/2021/1/arquivos/1
SEI_08490.002740_2021_51 (2).pdf	00394494000136-1-000003/2021	1.20	https://pncp.gov.br/pncp-api/v1/orgaos/00394494000136/compras/2021/3/arquivos/1
COTACAO 41-2021.doc	00394502000144-1-000017/2021	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/17/arquivos/1
OBSERVACOES GERAIS.docx	00394452000103-1-000017/2021	0.01	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/17/arquivos/1
Screenshot at 2021-08-12 15:45:59.png.zip, Screenshot at 2021-08-12 15:45:59.png	00394452000103-1-000021/2021	0.96	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/21/arquivos/1
CONCORDE DE FORNECEDOR.docx	00394452000103-1-000022/2021	0.01	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/22/arquivos/1
05 - Projeto Basico.pdf	00394452000103-1-000020/2021	1.65	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/20/arquivos/1
Modelo de Cotacao Eletronica 58-2021.doc	00394452000103-1-000018/2021	0.08	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/18/arquivos/1
FOTO DA DIVISORIA A SER COLOCADA.pdf	00394452000103-1-000019/2021	0.24	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/19/arquivos/1
Orcamento.zip, Orçamento_1.1.pdf, Orçamento_1.2.pdf	00394452000103-1-000023/2021	1.00	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/23/arquivos/1
documentos cotacao.pdf	15126437000143-1-000004/2021	0.25	https://pncp.gov.br/pncp-api/v1/orgaos/15126437000143/compras/2021/4/arquivos/1
DIEx n 073-S4.3-6CiaECmbSl - requisicao.pdf	00394452000103-1-000024/2021	0.19	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/24/arquivos/1
TERMO DE REFERENCIA 108.pdf	15126437000143-1-000005/2021	0.55	https://pncp.gov.br/pncp-api/v1/orgaos/15126437000143/compras/2021/5/arquivos/1
Disp 157.2021.pdf	00394452000103-1-000025/2021	0.07	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/25/arquivos/1
DISP 175.2021 - T.A - DIEx 5872 - 5 DE.pdf	00394452000103-1-000027/2021	0.16	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/27/arquivos/1
TR - Cotacao Ele 161.2021 - Porta Sanfonada.pdf	00394452000103-1-000026/2021	2.10	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/26/arquivos/1
COTACAO 015-2021 - NDMPBA.doc	00394502000144-1-000020/2021	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/20/arquivos/1
SERVICO DE MANUTENCAO DE SERVOMOTORES ALSTHOM.doc	00394502000144-1-000018/2021	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/18/arquivos/1
RADIO SAILOR R-5022.jpg.docx	00394502000144-1-000019/2021	1.49	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/19/arquivos/1
COTACAO 017-2021 - FLIBER.doc	00394502000144-1-000021/2021	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/21/arquivos/1
Material Eletrico sac 348 HO 04.12.20 Cabo flexivel.doc	62463005000108-1-000002/2021	0.06	https://pncp.gov.br/pncp-api/v1/orgaos/62463005000108/compras/2021/2/arquivos/1
TERMO DE REFERENCIA.pdf	46379400000150-1-000003/2021	0.61	https://pncp.gov.br/pncp-api/v1/orgaos/46379400000150/compras/2021/3/arquivos/1
Termo de Referencia cotacao 444.pdf	00394452000103-1-000028/2021	0.39	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/28/arquivos/1
TR BROMOPRIDA.pdf	15126437000143-1-000006/2021	0.21	https://pncp.gov.br/pncp-api/v1/orgaos/15126437000143/compras/2021/6/arquivos/1
ESPECIFICACOES TECNICAS.pdf	83901983000164-1-000001/2021	0.12	https://pncp.gov.br/pncp-api/v1/orgaos/83901983000164/compras/2021/1/arquivos/1
DOC 01.pdf	37753638000103-1-000001/2021	0.54	https://pncp.gov.br/pncp-api/v1/orgaos/37753638000103/compras/2021/1/arquivos/1
AquisicIaI_o de EPIs - Termo de RefereI_ncia novo_8803d84afad440318b61f00f3ed9dd5e.pdf	33787094000140-1-000002/2021	0.12	https://pncp.gov.br/pncp-api/v1/orgaos/33787094000140/compras/2021/2/arquivos/1
TERMO DE REFERENCIA - II.pdf	10735145000194-1-000003/2021	0.27	https://pncp.gov.br/pncp-api/v1/orgaos/10735145000194/compras/2021/3/arquivos/1
Aquisicao de lixeiras e caixa organizadora - Termo de Referencia novo.pdf	33787094000140-1-000003/2021	0.15	https://pncp.gov.br/pncp-api/v1/orgaos/33787094000140/compras/2021/3/arquivos/1
TERMO DE REFERENCIA ELETRODOS.PDF	42357483000126-1-000002/2021	2.25	https://pncp.gov.br/pncp-api/v1/orgaos/42357483000126/compras/2021/2/arquivos/1
Autorizacao.pdf	33663683000116-1-000002/2021	0.27	https://pncp.gov.br/pncp-api/v1/orgaos/33663683000116/compras/2021/2/arquivos/1
TR___Cadeados___FCC.pdf	33663683000116-1-000003/2021	0.10	https://pncp.gov.br/pncp-api/v1/orgaos/33663683000116/compras/2021/3/arquivos/1
754101.pdf	98671597000109-1-000608/2024	0.15	https://pncp.gov.br/pncp-api/v1/orgaos/98671597000109/compras/2024/608/arquivos/3
754102.pdf	98671597000109-1-000608/2024	0.11	https://pncp.gov.br/pncp-api/v1/orgaos/98671597000109/compras/2024/608/arquivos/4
754100.pdf	98671597000109-1-000608/2024	0.12	https://pncp.gov.br/pncp-api/v1/orgaos/98671597000109/compras/2024/608/arquivos/2
754107.pdf	98671597000109-1-000608/2024	0.61	https://pncp.gov.br/pncp-api/v1/orgaos/98671597000109/compras/2024/608/arquivos/8
754104.pdf	98671597000109-1-000608/2024	0.17	https://pncp.gov.br/pncp-api/v1/orgaos/98671597000109/compras/2024/608/arquivos/6
754108.pdf	98671597000109-1-000608/2024	0.92	https://pncp.gov.br/pncp-api/v1/orgaos/98671597000109/compras/2024/608/arquivos/1
754080.pdf	87860763000190-1-000078/2024	0.52	https://pncp.gov.br/pncp-api/v1/orgaos/87860763000190/compras/2024/78/arquivos/1
754047.pdf	88368386000130-1-000067/2024	0.90	https://pncp.gov.br/pncp-api/v1/orgaos/88368386000130/compras/2024/67/arquivos/1
754105.pdf	98671597000109-1-000608/2024	2.26	https://pncp.gov.br/pncp-api/v1/orgaos/98671597000109/compras/2024/608/arquivos/7
754103.pdf	98671597000109-1-000608/2024	13.47	https://pncp.gov.br/pncp-api/v1/orgaos/98671597000109/compras/2024/608/arquivos/5
754048.pdf	88368386000130-1-000067/2024	0.37	https://pncp.gov.br/pncp-api/v1/orgaos/88368386000130/compras/2024/67/arquivos/2
754162.pdf	88243688000181-1-000126/2024	0.12	https://pncp.gov.br/pncp-api/v1/orgaos/88243688000181/compras/2024/126/arquivos/1
754049.pdf	88368386000130-1-000067/2024	0.25	https://pncp.gov.br/pncp-api/v1/orgaos/88368386000130/compras/2024/67/arquivos/3
754159.docx	88243688000181-1-000126/2024	0.08	https://pncp.gov.br/pncp-api/v1/orgaos/88243688000181/compras/2024/126/arquivos/2
754160.pdf	88243688000181-1-000126/2024	0.51	https://pncp.gov.br/pncp-api/v1/orgaos/88243688000181/compras/2024/126/arquivos/3
753927.pdf	93235950000186-1-000043/2024	0.16	https://pncp.gov.br/pncp-api/v1/orgaos/93235950000186/compras/2024/43/arquivos/1
754161.xlsx	88243688000181-1-000126/2024	0.03	https://pncp.gov.br/pncp-api/v1/orgaos/88243688000181/compras/2024/126/arquivos/4
754163.pdf	88243688000181-1-000126/2024	0.06	https://pncp.gov.br/pncp-api/v1/orgaos/88243688000181/compras/2024/126/arquivos/5
753926.pdf	93235950000186-1-000043/2024	0.37	https://pncp.gov.br/pncp-api/v1/orgaos/93235950000186/compras/2024/43/arquivos/2
753793.pdf	89378251000118-1-000048/2024	0.40	https://pncp.gov.br/pncp-api/v1/orgaos/89378251000118/compras/2024/48/arquivos/2
753790.pdf	89378251000118-1-000048/2024	1.03	https://pncp.gov.br/pncp-api/v1/orgaos/89378251000118/compras/2024/48/arquivos/1
753760.pdf	88124961000159-1-000157/2024	0.12	https://pncp.gov.br/pncp-api/v1/orgaos/88124961000159/compras/2024/157/arquivos/4
753765.pdf	88124961000159-1-000157/2024	0.33	https://pncp.gov.br/pncp-api/v1/orgaos/88124961000159/compras/2024/157/arquivos/1
753758.pdf	88124961000159-1-000157/2024	0.13	https://pncp.gov.br/pncp-api/v1/orgaos/88124961000159/compras/2024/157/arquivos/2
753795.pdf	89378251000118-1-000048/2024	0.41	https://pncp.gov.br/pncp-api/v1/orgaos/89378251000118/compras/2024/48/arquivos/3
753761.pdf	88124961000159-1-000157/2024	1.13	https://pncp.gov.br/pncp-api/v1/orgaos/88124961000159/compras/2024/157/arquivos/5
753759.docx	88124961000159-1-000157/2024	0.10	https://pncp.gov.br/pncp-api/v1/orgaos/88124961000159/compras/2024/157/arquivos/3
753762.pdf	88124961000159-1-000157/2024	0.18	https://pncp.gov.br/pncp-api/v1/orgaos/88124961000159/compras/2024/157/arquivos/6
753931.pdf	13183513000127-1-000159/2024	0.37	https://pncp.gov.br/pncp-api/v1/orgaos/13183513000127/compras/2024/159/arquivos/1
753768.pdf	88124961000159-1-000157/2024	0.15	https://pncp.gov.br/pncp-api/v1/orgaos/88124961000159/compras/2024/157/arquivos/7
753932.pdf	13183513000127-1-000159/2024	0.12	https://pncp.gov.br/pncp-api/v1/orgaos/13183513000127/compras/2024/159/arquivos/2
753769.pdf	88124961000159-1-000157/2024	0.25	https://pncp.gov.br/pncp-api/v1/orgaos/88124961000159/compras/2024/157/arquivos/8
%2Fvar%2Fwww%2Fhtml%2Flaurentino.atende.net%2Ftemp%2FWCO%2FPNCP%2FEdital%2Fedital_14_2024_135_documento.pdf	79369955000170-1-000004/2024	0.89	https://pncp.gov.br/pncp-api/v1/orgaos/79369955000170/compras/2024/4/arquivos/1
PUBLICIDADE.pdf	30709579000127-1-000017/2024	0.12	https://pncp.gov.br/pncp-api/v1/orgaos/30709579000127/compras/2024/17/arquivos/1
753996.pdf	88201298000149-1-000224/2024	5.37	https://pncp.gov.br/pncp-api/v1/orgaos/88201298000149/compras/2024/224/arquivos/1
DE+145-2024-AVISO-TR.pdf	00394502000144-1-013849/2024	0.54	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2024/13849/arquivos/1
EDITAL_PE_05__BUFFET_E_DECORACAO_OK.pdf	66450909000150-1-000021/2024	0.59	https://pncp.gov.br/pncp-api/v1/orgaos/66450909000150/compras/2024/21/arquivos/1
